,Image,F1,Jaccard,Recall,Precision
554,2164.png,0.937517356,0.882383691,0.899067909,0.979402379
555,2302.png,0.566666667,0.395348837,0.912195122,0.410989011
556,2630.png,0.599286564,0.427843803,0.427843803,1
557,1067.png,0.74149034,0.589181287,0.848421053,0.658496732
558,1002.png,0.935483871,0.878787879,0.891061453,0.984567901
559,308.png,0.967088608,0.93627451,0.953410982,0.981164384
560,324.png,0.772262774,0.62901308,0.990636704,0.63277512
561,1235.png,0.904615385,0.825842697,0.97029703,0.847262248
562,153.png,0.961563518,0.925972396,0.954721863,0.968503937
563,1810.png,0.735395189,0.581521739,0.995348837,0.583106267
564,1401.png,0.545753425,0.375282592,0.917127072,0.388455538
565,1861.png,0.798743784,0.664923747,0.924848485,0.702901889
566,2197.png,0.778218945,0.636954503,0.99132948,0.640522876
567,709.png,0.773195876,0.630252101,0.661764706,0.929752066
568,2080.png,0,0,0,0
569,1768.png,0.933178385,0.874727669,0.930475087,0.935897436
570,353.png,0.727559055,0.571782178,0.658119658,0.813380282
571,181.png,0.977704377,0.95638126,0.982572614,0.972884141
572,1801.png,0.916666667,0.846153846,0.895927602,0.938388626
573,865.png,0,0,0,0
574,2378.png,0.881966415,0.788855028,0.853509185,0.912386707
575,605.png,0.955423477,0.914651494,0.965465465,0.945588235
576,2148.png,0.900243309,0.818584071,0.872641509,0.929648241
577,940.png,0.837647059,0.720647773,0.976234004,0.733516484
578,545.png,0.973711164,0.948769128,0.986851211,0.960916442
579,217.png,0.920674578,0.853009259,0.924717691,0.916666667
580,980.png,0,0,0,0
581,888.png,0.692940667,0.530152419,0.530503979,0.998751561
582,407.png,0.952325581,0.908990011,0.915083799,0.992727273
583,1566.png,0,0,0,0
584,2830.png,0.739622642,0.586826347,1,0.586826347
585,1841.png,0,0,0,0
586,2790.png,0.696071164,0.533826038,0.54027618,0.978125
587,2847.png,0.866511748,0.764464692,0.808285164,0.93377852
588,1084.png,0.913678619,0.841075795,0.991354467,0.84729064
589,1723.png,0.893992933,0.808306709,0.980620155,0.821428571
590,2454.png,0.798406727,0.664456722,0.676923077,0.973031284
591,1611.png,0.901457726,0.82059448,0.973551637,0.839305103
592,1363.png,0.954005168,0.912055336,0.977754237,0.931382442
593,2717.png,0.891646778,0.804478898,0.995735608,0.807260156
594,33.png,0.497311828,0.330948122,0.330948122,1
595,2496.png,0,0,0,0
596,2169.png,0,0,0,0
597,2222.png,0.63776824,0.468178954,0.468178954,1
598,1146.png,0.973755656,0.948853616,0.971119134,0.976406534
599,1893.png,0.620987654,0.450313339,0.712464589,0.550328228
600,2499.png,0,0,0,0
601,1236.png,0.80155642,0.668831169,0.741007194,0.872881356
602,1250.png,0.947463768,0.900172117,0.981238274,0.915936953
603,2923.png,0.893617021,0.807692308,1,0.807692308
604,1591.png,0.928813559,0.867088608,0.960280374,0.899343545
605,1894.png,0.984179457,0.101430429,0.103861518,0.8125
606,107.png,0.950875486,0.906351414,0.94080847,0.961160275
607,1675.png,0.845070423,0.731707317,0.853658537,0.836653386
608,429.png,0.965393258,0.933101651,0.957219251,0.973708069
609,344.png,0.954436451,0.912844037,0.937205651,0.972312704
610,2667.png,0.895355673,0.81053752,0.821024259,0.984486102
611,367.png,0.966515837,0.935201401,0.981617647,0.951871658
